title,target
MTA Official Too Nervous To Tell Commuters Waiting For Train That Service Shut Down Permanently An Hour Ago,0
"‘Rock The Caliphate’ Charity Concert Features U2, Ed Sheeran, Dua Lipa Coming Together To Raise Money For Struggling Islamic State",0
"Deformed, Half-Feathered Audubon Society President Flees Into Forest After Injecting Self With Bird DNA",0
New Study Confirms This Didn’t Even Feel Like A 4-Day Work Week,0
"Cory Booker Expelled From Senate, Stripped Naked, Forced To Wander Maryland Bog In Woe For All Eternity",0
Fox Business Host Calls Former President George W. Bush a 'Radical' Liberal,1
Russian State Media Accuses Anime of Promoting Child Suicide,1
Dangerous drug trend called 'wasping' combines insecticide with meth,1
Nokia 9 Smartphone Packing Five Rear Camera Lens Image Leaked,1
'Remodelling the lizard people's lair': Denver airport trolls conspiracy theorists,1
