,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
17,3.20444026,0.022753488,0.201437426,0.003931644,log2,5,170,"{'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 170}",0.741366078,0.718342287,0.745203377,0.716039908,0.735588009,0.731306618,0.011949731,27,0.787523992,0.781573896,0.799616123,0.803838772,0.792594014,0.793029359,0.008024401
16,3.021615171,0.054694974,0.194136429,0.002170404,log2,5,150,"{'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 150}",0.742900998,0.720644666,0.745203377,0.718342287,0.737125288,0.732842008,0.011238469,26,0.788675624,0.786948177,0.799040307,0.804990403,0.792402149,0.794411332,0.006722767
15,2.904624796,0.065699857,0.190211773,0.00140232,log2,5,130,"{'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 130}",0.748273216,0.727551804,0.750575595,0.719109747,0.735588009,0.736219868,0.011999011,25,0.791362764,0.79059501,0.801727447,0.805566219,0.791634689,0.796177226,0.006227888
6,11.3620554,0.341751373,0.241274881,0.014451499,sqrt,5,130,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 130}",0.76208749,0.765157329,0.772064467,0.742133538,0.758647194,0.760018425,0.009976932,24,0.856429942,0.854510557,0.851055662,0.856621881,0.855333845,0.854790377,0.002018134
26,10.38677516,0.817785952,0.266084623,0.018277932,0.01,5,170,"{'max_features': 0.01, 'min_samples_leaf': 5, 'n_estimators': 170}",0.770529547,0.770529547,0.773599386,0.760552571,0.78093774,0.771226777,0.006553842,19,0.856621881,0.857965451,0.852207294,0.857773512,0.857828089,0.856479245,0.002189668
8,14.12635956,0.392620022,0.260416842,0.009974325,sqrt,5,170,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 170}",0.76362241,0.769762087,0.775901765,0.747505756,0.763259032,0.764010441,0.009462996,22,0.85681382,0.85681382,0.852207294,0.85681382,0.856676899,0.85586513,0.001829687
7,13.02125778,0.361206787,0.260478544,0.014469393,sqrt,5,150,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 150}",0.76438987,0.768227168,0.765924789,0.745203377,0.760184473,0.76078612,0.00822252,23,0.857389635,0.857773512,0.849520154,0.856238004,0.85437452,0.855059165,0.00301124
25,8.832560015,0.155416505,0.231961632,0.005460225,0.01,5,150,"{'max_features': 0.01, 'min_samples_leaf': 5, 'n_estimators': 150}",0.768227168,0.76438987,0.775134305,0.757482732,0.784780938,0.769998465,0.009337389,21,0.857773512,0.85681382,0.850095969,0.857965451,0.859554873,0.856440725,0.003292238
24,8.099345779,0.211179478,0.224391651,0.014197522,0.01,5,130,"{'max_features': 0.01, 'min_samples_leaf': 5, 'n_estimators': 130}",0.767459708,0.769762087,0.777436685,0.758250192,0.780169101,0.770612621,0.007763252,20,0.859309021,0.85681382,0.849136276,0.859692898,0.857444359,0.856479275,0.00382878
13,5.398167133,0.08571618,0.301296854,0.015400105,log2,3,150,"{'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 150}",0.781273983,0.792018419,0.801995395,0.779739064,0.788624135,0.788730232,0.008041442,4,0.89059501,0.885796545,0.880806142,0.889827255,0.881043745,0.885613739,0.004161683
